NSC,SMILES
300,"Nc1c(Cl)cc(cc1Br)S(=O)(=O)O"
301,"OC(=O)Cc1ccc2ccccc2c1"
302,"Nc1ccc(I)cc1C(=O)O"
303,"Clc1cccc2C(=O)NNc12"
304,"CN1N=C(C)CC1=O"
305,"Nc1c(Br)cccc1Br"
306,"CC(=O)Nc1cc(C)cc(Br)c1"
307,"CCOC(=O)CC1(O)CCCCC1"
308,"Brc1cc(Br)cc(NNc2cc(Br)cc(Br)c2)c1"
309,"Cc1ccccc1NNc2ccccc2C"
310,"c1ccc(cc1)c2ccc(cc2)N=Nc3ccc(cc3)c4ccccc4"
311,"ClCC(=O)Nc1ccccc1"
312,"O=C(C(C(N1CCOCC1)c2ccccc2)N3CCOCC3)c4ccccc4"
313,"CN(N=O)S(=O)(=O)c1ccc(C)cc1"
314,"O=C(NCc1ccccc1)C(=O)NCc2ccccc2"
315,"CC(=O)N(C(C(=O)c1ccccc1)c2ccccc2)c3ccccc3"
316,"C(=C\c1ccccc1)/C=C/c2ccccc2"
317,"O=C(NC1CCCCC1)C(=O)NC2CCCCC2"
318,"OC1CCN(Cc2ccccc2)C1=O"
319,"OC1CCN(C2CCCCC2)C1=O"
320,"CC(=O)N(CC(=O)N(CC(=O)O)c1ccc(Cl)cc1)c2ccc(Cl)cc2"
321,"CCOC(=O)C(=O)N(CCC(=O)O)c1ccccc1"
322,"Oc1ccccc1C2=NCCN2"
323,"BrCC(=O)C(Br)C(Br)c1ccccc1"
324,"OCCNCCNC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]"
325,"COC(=O)C1CN(Cc2ccccc2)C(=O)C1=O"
326,"CCOC(=O)C1CN(C)C(=O)C1=O"
327,"CCOC(=O)C1CN(CC)C(=O)C1=O"
328,"CCCN1CC(C(=O)OCC)C(=O)C1=O"
329,"CCOC(=O)C1CN(C(C)C)C(=O)C1=O"
330,"CCCCN1CC(C(=O)OCC)C(=O)C1=O"
331,"CCOC(=O)C1CN(CC(C)C)C(=O)C1=O"
332,"CCOC(=O)C1CN(C(=O)C1=O)C(C)(C)C"
333,"CCOC(=O)C1CN(C(=O)C1=O)c2ccccc2"
334,"CCOC(=O)C1CN(Cc2ccccc2)C(=O)C1=O"
335,"CCOC(=O)C1CN(CCc2ccccc2)C(=O)C1=O"
336,"CC(C)N(N=O)C(C)C"
337,"O=NN(C1CCCCC1)C2CCCCC2"
338,"O=NN(Cc1ccccc1)Cc2ccccc2"
339,"O=NN1CCN(CC1)N=O"
340,"Cc1c(C)c(C)c(Br)c(C)c1C"
341,"COCc1c(C)cc(C)cc1C"
342,"Cc1cc(cc(C)c1O)C(=O)c2ccccc2"
343,"CCC(CC)(C#N)c1ccccc1"
344,"CN(C)CCc1c(C)cc(C)cc1C"
345,"CCOC(=O)C(C(=O)C)C(=O)C"
346,"[O-][N+](=O)c1cccc2cccnc12"
347,"CCCCC(CC)C(=O)CC(=O)C"
348,"CC(=O)CCc1ccc(Cl)cc1"
349,"COc1ccc(C)c(CN(C)C)c1"
350,"CC(C)(c1ccccc1)[N+](C)(C)C"
351,"CN(C)CCc1c(C)cc(C)c(C)c1C"
352,"C[N+](C)(C)Cc1ccccc1C[N+](C)(C)C"
353,"CCN(CC)CCCNc1c2ccc(Cl)cc2nc3ccc(OC)cc13"
354,"COCC(=O)c1ccccc1"
355,"CCN(CC)CCCC(C)Nc1c(C)cnc2cc(Cl)c(C)cc12"
356,"CCCCCC(=O)CC(=O)CC"
357,"CCC(CC)(CC)C(O)c1ccccc1"
358,"CC(C)(C)OC(=O)CC(O)c1ccccc1"
