NSC,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,RingCount,NumAromaticRings,FractionCSP3,MolMR
362856.0,194.15399999999997,194.055223432,-2.078099999999999,108.17,1,5,1,14,2,2,0.16666666666666666,44.5409
369100.0,240.30999999999997,240.13749651199998,2.8227,56.730000000000004,1,3,2,18,3,3,0.2857142857142857,74.28440000000003
409962.0,214.05199999999996,213.007181888,1.157,61.77,1,3,5,12,0,0,0.8,47.33970000000001
606869.0,303.681,303.053445112,-0.34940000000000027,119.31000000000002,3,7,2,20,3,2,0.5,66.644
608210.0,929.0330000000002,928.4106026000001,2.6310000000000024,248.92999999999995,6,15,10,67,9,3,0.5306122448979592,241.3626999999994
609699.0,421.45300000000015,421.163770836,1.8468,104.89000000000001,2,7,3,31,5,3,0.34782608695652173,113.58060000000003
613327.0,263.2,263.071762272,-1.2886000000000004,110.60000000000001,3,6,2,18,2,1,0.5555555555555556,54.859000000000016
628503.0,807.89,807.346605376,3.2596000000000007,224.44999999999996,5,14,8,58,6,2,0.5581395348837209,203.6043999999994
673596.0,392.41100000000023,392.1372217399999,2.3476,101.65000000000002,2,6,2,29,5,3,0.3181818181818182,105.56760000000003
681239.0,384.24500000000006,384.19688568000004,0.36059999999999964,124.44000000000001,4,6,9,28,2,2,0.3684210526315789,105.00950000000005
686673.0,297.271,297.10731857999997,-1.9713999999999994,148.76999999999998,4,9,3,21,3,2,0.5454545454545454,69.2968
698037.0,427.41700000000026,427.14918339199994,0.6663999999999994,191.26,6,6,9,31,3,3,0.25,110.73660000000007
701852.0,264.325,264.1473925,2.4711,78.43,3,3,8,19,1,1,0.42857142857142855,72.70290000000003
702294.0,520.3900000000002,519.1344297339999,5.2990000000000075,96.3,2,4,7,33,4,1,0.6956521739130435,127.01310000000007
707389.0,729.908,729.408811708,3.438000000000005,146.39000000000001,2,12,4,52,10,0,0.875,186.26319999999942
712807.0,359.35400000000004,359.1492636439999,0.7602,122.91000000000001,3,7,6,25,2,1,0.6666666666666666,84.54830000000003
713563.0,296.4100000000001,296.177630008,4.029500000000003,34.14,0,2,0,22,4,0,0.6,86.14600000000003
715055.0,446.9100000000004,446.15209652799996,4.275600000000003,68.74000000000001,1,7,8,31,4,3,0.36363636363636365,118.15370000000003
718781.0,393.44300000000027,393.16885621599994,3.405100000000002,74.73,1,7,10,29,3,3,0.2727272727272727,111.93970000000004
719276.0,606.782,606.316607464,8.682600000000003,57.53,2,3,14,41,4,1,0.8125,152.65199999999982
719344.0,293.374,293.16404560800004,2.9287600000000014,78.28999999999999,0,4,4,22,2,2,0.4117647058823529,82.84400000000004
719345.0,285.31,285.10144535200004,2.659160000000001,78.29,0,4,3,22,3,3,0.058823529411764705,79.57700000000003
719627.0,381.3790000000001,381.075882348,3.5139200000000015,77.98,1,3,3,26,3,3,0.11764705882352941,90.11220000000003
721517.0,272.09,271.99632391999995,-1.1154000000000002,153.10999999999999,5,4,4,16,1,1,0.4,51.26500000000002
732517.0,488.01700000000034,487.15572175200003,3.3135400000000015,106.50999999999999,3,9,7,33,4,3,0.36363636363636365,132.0467
733504.0,958.2399999999996,957.5813563360003,6.1972000000000085,204.65999999999997,3,14,9,68,4,0,0.7547169811320755,255.95639999999904
737754.0,437.5290000000002,437.163393976,3.1390400000000005,119.03,2,7,5,31,4,4,0.19047619047619047,121.38090000000001
743414.0,493.61500000000024,493.2590086120001,4.590320000000004,86.28,2,7,7,37,5,4,0.2413793103448276,146.8938999999998
745750.0,581.0690000000002,580.134732212,6.139100000000004,106.35000000000001,2,8,11,40,5,5,0.1724137931034483,154.12419999999972
747599.0,529.5260000000002,529.1837929840001,6.355840000000003,97.62,2,6,6,39,5,5,0.10714285714285714,140.98089999999985
747971.0,464.83100000000013,464.086302712,5.549700000000002,92.35000000000001,3,4,5,32,3,3,0.09523809523809523,113.2386
747972.0,259.265,259.095691276,0.029799999999999882,92.5,2,4,1,19,3,1,0.3076923076923077,66.8996
747973.0,506.70900000000023,506.28144344399993,4.050520000000003,112.05000000000001,3,7,2,35,3,1,0.7407407407407407,137.92529999999996
747974.0,473.5940000000004,473.166079344,6.075200000000005,70.0,2,6,7,34,5,4,0.25,136.25109999999992
749226.0,349.51800000000003,349.24056461200007,5.398600000000005,33.120000000000005,1,2,1,26,5,1,0.625,105.30680000000005
750690.0,398.48200000000014,398.211804324,3.3349400000000013,77.23,3,3,7,29,3,2,0.36363636363636365,113.28860000000003
754143.0,540.7080000000002,540.207626872,1.4296000000000009,142.70000000000002,4,8,2,36,2,0,0.625,140.53779999999995
754230.0,477.4810000000003,477.17606683599996,0.9815999999999994,207.29999999999995,5,9,10,35,3,3,0.2608695652173913,126.04960000000005
755986.0,421.30500000000006,420.01021866800005,4.7112000000000025,76.13,1,4,4,27,3,3,0.05263157894736842,107.198
756645.0,450.34500000000014,449.118543904,5.0377000000000045,77.99000000000001,2,5,5,30,4,3,0.3333333333333333,116.47410000000004
757441.0,386.48,386.1201321960001,4.639100000000004,70.67,2,4,5,28,4,4,0.045454545454545456,113.21390000000001
760766.0,475.36200000000036,474.1066663280001,5.004200000000005,59.51,1,6,6,30,4,3,0.36363636363636365,119.18870000000003
761431.0,489.93100000000015,489.072546556,5.544200000000004,91.92,2,4,7,33,4,4,0.13043478260869565,124.03070000000001
761432.0,835.9439999999997,835.377905504,4.567800000000003,202.44999999999996,3,14,10,60,6,2,0.5777777777777777,213.18479999999929
763371.0,306.37300000000005,306.159294576,3.466380000000002,83.18,1,4,4,23,4,3,0.4117647058823529,86.33470000000004
